Company,Industry Tags
Webflow,"visual website builder, no-code CMS, responsive design, hosting platform SaaS"
Wix,"website builder, drag-and-drop sites, e-commerce stores, marketing tools SaaS"
Squarespace,"website builder, portfolio sites, e-commerce platform, templates & design SaaS"
BigCommerce,"e-commerce platform, online stores, multi-channel retail, B2B commerce SaaS"
Magento Commerce,"e-commerce platform, shopping cart, order management, open-source commerce SaaS"
Stripe Billing,"subscription billing, invoicing APIs, recurring payments, revenue recognition SaaS"
Braintree,"payment gateway, online payments, mobile checkout, merchant services SaaS"
Adyen,"payment processing, omnichannel payments, point-of-sale, risk management SaaS"
Square,"POS systems, card processing, payment hardware, small-business finance SaaS"
PayPal,"online payments, digital wallet, merchant services, checkout processing SaaS"
Checkout.com,"payment gateway, global acquiring, card issuing, fraud management SaaS"
Wise,"cross-border payments, foreign exchange, international transfers, fintech platform SaaS"
Airwallex,"cross-border payments, FX platform, multi-currency accounts, business cards SaaS"
Brex,"corporate cards, expense management, spend management, startup finance SaaS"
Ramp,"corporate cards, expense automation, spend analytics, finance platform SaaS"
Divvy,"spend management, corporate cards, expense tracking, budget controls SaaS"
Expensify,"expense management, receipt scanning, reimbursement automation, SMB finance SaaS"
Concur,"travel & expense, itinerary management, reimbursement, spend compliance SaaS"
Gusto,"payroll software, HR & benefits, employee onboarding, taxes & compliance SaaS"
Deel,"global payroll, contractor payments, EOR services, compliance automation SaaS"
Remote.com,"employer of record, global hiring, payroll & benefits, compliance platform SaaS"
Rippling,"HRIS platform, payroll & IT, device management, employee onboarding SaaS"
Zenefits,"HR management, benefits administration, payroll & compliance, SMB HR SaaS"
BambooHR,"HR management, applicant tracking, performance reviews, employee data SaaS"
ADP Workforce Now,"payroll & HR, time tracking, benefits administration, workforce management SaaS"
Paychex Flex,"payroll software, HR services, benefits management, SMB finance SaaS"
Lever,"applicant tracking, recruiting CRM, talent acquisition, hiring pipeline SaaS"
Zendesk, "ticketing, customer experience, CRM, knowledge base, ticketing Saas",
Greenhouse,"applicant tracking, recruiting software, interview scheduling, talent acquisition SaaS"
SmartRecruiters,"talent acquisition, ATS platform, collaborative hiring, recruitment marketing SaaS"
iCIMS,"talent cloud, applicant tracking, onboarding, recruitment marketing SaaS"
Workable,"applicant tracking, job posting, candidate sourcing, recruiting software SaaS"
Jobvite,"recruiting software, applicant tracking, employee referrals, talent management SaaS"
Bullhorn,"staffing software, recruiting CRM, applicant tracking, talent pipeline SaaS"
ClearCompany,"talent management, performance reviews, applicant tracking, goal alignment SaaS"
RingCentral,"cloud PBX, business phone, video meetings, UCaaS, VoIP SaaS"
8x8,"cloud communications, contact center, VoIP phone, UCaaS, video conferencing SaaS"
Five9,"cloud contact center, inbound & outbound calling, customer service, CCaaS SaaS"
Talkdesk,"cloud contact center, AI routing, omnichannel support, CX platform SaaS"
Genesys Cloud,"contact center, customer experience, omnichannel routing, AI engagement SaaS"
Aircall,"cloud call center, VoIP phone system, sales calling, customer support SaaS"
NICE inContact,"contact center, omnichannel CX, workforce optimization, analytics SaaS"
Dialpad,"AI voice, business phone, video meetings, contact center, UCaaS SaaS"
Vonage Business,"cloud communications, VoIP phone, SMS & API, UCaaS, contact center SaaS"
Twilio,"communications API, SMS & voice, programmable messaging, email API SaaS"
MessageBird,"communication platform, omnichannel API, SMS & voice, chat channels SaaS"
SendinBlue,"email marketing, SMS campaigns, marketing automation, transactional email SaaS"
Plivo,"voice & SMS API, cloud communications, programmable messaging, contact center SaaS"
Infobip,"omnichannel communications, messaging API, chat apps, contact center SaaS"
Calendly,"scheduling software, meeting booking, calendar integration, appointment automation SaaS"
Doodle,"meeting scheduling, poll-based booking, calendar coordination, availability sharing SaaS"
TimeCamp,"time tracking, productivity monitoring, timesheets & reports, project cost SaaS"
Toggl,"time tracking, billable hours, productivity analytics, team timesheets SaaS"
Harvest,"time tracking, invoicing, expense tracking, project budgeting SaaS"
Jira Software,"issue tracking, agile project management, scrum boards, DevOps workflow SaaS"
Confluence,"team wiki, knowledge base, collaboration docs, content management SaaS"
Basecamp,"project management, team communication, task lists, file sharing SaaS"
ClickUp,"productivity platform, tasks & docs, project management, goal tracking SaaS"
Airtable,"relational database, no-code apps, spreadsheet-database hybrid, collaboration platform SaaS"
Coda,"docs-as-apps, all-in-one workspace, interactive tables, no-code automation SaaS"
Zoho Projects,"project management, task tracking, Gantt charts, team collaboration SaaS"
Teamwork,"project management, client-work platform, time tracking, collaboration tools SaaS"
Wrike,"project management, work management, collaboration, Gantt charts SaaS"
MeisterTask,"kanban boards, task management, workflow automation, team collaboration SaaS"
ProofHub,"project management, team collaboration, discussions & notes, time tracking SaaS"
Pipedrive,"sales CRM, pipeline management, deal tracking, activity scheduling SaaS"
Copper CRM,"Gmail-integrated CRM, pipeline management, relationship tracking SaaS"
Insightly,"CRM & project management, relationship linking, sales pipeline SaaS"
Freshsales,"sales CRM, contact management, email tracking, deal pipeline SaaS"
SugarCRM,"customer relationship, sales automation, marketing integration, support platform SaaS"
Agile CRM,"sales & marketing CRM, automation, contact management, helpdesk SaaS"
Nimble,"social CRM, relationship intelligence, contact management, sales insights SaaS"
Gainsight,"customer success, churn prevention, health scoring, lifecycle management SaaS"
Totango,"customer success, adoption tracking, health scoring, lifecycle journeys SaaS"
ChurnZero,"customer success, churn analytics, usage tracking, account health SaaS"
ChartMogul,"subscription analytics, MRR metrics, cohort analysis, SaaS revenue insights SaaS"
Baremetrics,"subscription analytics, ARR & MRR, churn metrics, dashboards SaaS"
ProfitWell,"subscription metrics, revenue automation, pricing insights, retention tools SaaS"
Kissmetrics,"behavioral analytics, conversion tracking, cohort analysis, marketing insights SaaS"
RudderStack,"customer data platform, event streaming, data pipelines, warehouse integration SaaS"
Snowplow,"behavioral data, event tracking, data pipelines, analytics infrastructure SaaS"
Databricks,"data lakehouse, big-data analytics, Apache Spark platform, machine learning SaaS"
DataRobot,"automated machine learning, MLOps platform, predictive analytics, AI models SaaS"
H2O.ai,"machine-learning platform, AutoML, AI models, open-source AI SaaS"
Dataiku,"data-science platform, ML workflows, collaborative analytics, governed AI SaaS"
Alteryx,"data preparation, analytics automation, self-service BI, ETL platform SaaS"
RapidMiner,"data-science platform, visual ML, predictive analytics, ETL SaaS"
ThoughtSpot,"search-based analytics, BI platform, AI insights, data visualization SaaS"
Qubole,"big-data platform, data lakes, Apache Spark, workflow orchestration SaaS"
Talend Cloud,"data integration, ETL pipelines, API services, data quality SaaS"
Informatica Cloud,"data integration, data governance, MDM, data quality SaaS"
Fivetran,"automated data pipelines, ELT, data integration, connectors SaaS"
Stitch,"ETL service, data pipelines, analytics integration, data loading SaaS"
Matillion,"cloud ETL, data transformation, data integration, Snowflake partner SaaS"
Airbyte Cloud,"open-source ELT, data connectors, data integration, modern stack SaaS"
Snyk,"developer security, open-source scanning, container security, IaC security SaaS"
GitGuardian,"secrets detection, code security, credential leak prevention, DevSecOps SaaS"
SonarCloud,"code quality, static analysis, technical debt, DevSecOps SaaS"
Mend (WhiteSource),"open-source security, license compliance, vulnerability scanning, DevSecOps SaaS"
JFrog,"artifact repository, DevOps binaries, software supply chain, security SaaS"
CircleCI,"CI/CD platform, continuous integration, automated testing, deployment pipelines SaaS"
Travis CI,"continuous integration, build automation, open-source testing, CI/CD SaaS"
Buddy,"CI/CD pipelines, Docker automation, Kubernetes deployments, DevOps platform SaaS"
CodeShip,"continuous integration, automated builds, deployment pipelines SaaS"
Codefresh,"CI/CD for containers, Kubernetes deployment, GitOps, DevOps automation SaaS"
Harness,"continuous delivery, feature flags, cloud cost management, CI/CD platform SaaS"
Octopus Deploy,"deployment automation, release management, DevOps, CI/CD integration SaaS"
Chef Automate,"infrastructure automation, configuration management, CI/CD pipeline SaaS"
Puppet Enterprise,"infrastructure automation, configuration management, compliance, DevOps SaaS"
Ansible Tower,"IT automation, configuration management, orchestration, DevOps SaaS"
Terraform Cloud,"infrastructure as code, provisioning automation, cloud orchestration SaaS"
CloudHealth,"cloud cost management, cloud governance, optimization analytics SaaS"
Dynatrace,"application performance, infrastructure monitoring, digital experience, observability SaaS"
AppDynamics,"application performance, APM, monitoring & analytics, DevOps SaaS"
Instana,"application performance, distributed tracing, real-time monitoring, observability SaaS"
Grafana Cloud,"metrics dashboards, logs & traces, observability platform, visualization SaaS"
Humio,"log analytics, real-time search, observability, SIEM SaaS"
Logz.io,"log analytics, ELK-as-a-service, observability, metrics & traces SaaS"
Papertrail,"log aggregation, log management, real-time search, monitoring SaaS"
Loggly,"log management, analytics & monitoring, cloud-based logs SaaS"
Timber.io,"structured logging, log storage, observability, monitoring SaaS"
Sumo Logic,"cloud SIEM, log analytics, security monitoring, observability SaaS"
Honeycomb.io,"observability, distributed tracing, debugging, performance tuning SaaS"
Lightstep,"distributed tracing, observability, incident analysis, performance insights SaaS"
Raygun,"error monitoring, crash reporting, performance tracking, diagnostics SaaS"
Bugsnag,"error monitoring, stability management, crash reporting, mobile diagnostics SaaS"
Crashlytics,"crash reporting, mobile analytics, app stability, Firebase SaaS"
App Center,"app distribution, device testing, crash reporting, mobile DevOps SaaS"
GitKraken,"Git GUI, version control, repository management, developer productivity SaaS"
MURAL,"online whiteboard, visual collaboration, brainstorming sessions, remote teamwork SaaS"
Whimsical,"wireframes & flowcharts, visual thinking, brainstorm diagrams, collaboration SaaS"
Lucidspark,"virtual whiteboard, brainstorming, agile planning, team workshops SaaS"
Draw.io,"diagramming tool, flowcharts, network diagrams, visual documentation SaaS"
TeamGantt,"Gantt charts, project timelines, resource planning, scheduling SaaS"
GanttPRO,"Gantt chart software, project scheduling, resource management SaaS"
Hubstaff,"time tracking, productivity monitoring, workforce analytics, employee monitoring SaaS"
Time Doctor,"time tracking, screenshots & activity, productivity analytics, remote teams SaaS"
Clockify,"time tracking, timesheets, billable hours, project reporting SaaS"
Paylocity,"payroll & HR, workforce management, employee engagement, benefits administration SaaS"
Workhuman,"employee recognition, engagement platform, peer bonuses, company culture SaaS"
BetterCloud,"SaaS management, application security, user lifecycle, automation workflows SaaS"
Jamf Pro,"Apple device management, MDM, macOS & iOS security, enterprise mobility SaaS"
Kaseya,"IT management, RMM, endpoint monitoring, MSP software SaaS"
TeamViewer,"remote desktop, screen sharing, remote support, device access SaaS"
AnyDesk,"remote desktop, screen sharing, remote support, fast connection SaaS"
Discord,"community chat, voice chat, real-time messaging, gamer communication SaaS"
Palantir Technologies,"data integration, big-data analytics, enterprise intelligence, operational planning SaaS"
Mozilla,"open-source browser, developer tools, internet services, web platform SaaS"
